,Distance_X_LOGO_Earphone_LD1,Distance_X_LOGO_Earphone_LD2,Distance_X_LOGO_Earphone_LD3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Earphone_LD1,Distance_Y_LOGO_Earphone_LD2,Distance_Y_LOGO_Earphone_LD3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Earphone_LD1,Angle_Earphone_LD2,Angle_Earphone_LD3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS3115GRWV,-29.1157571904,-29.0417298401,-29.1307627344,-29.1997882368,-29.1277616256,-29.1637749312,-29.1987878672,-29.1647753008,-29.0947494288,-29.1657756704,-29.2348011727,-29.2688137391,-29.1287619952,-29.0607368625,-28.9196847489,-29.0237231873,-29.0577357537,-29.1637749312,-29.0927486896,-29.0257239265,-29.0447309489,-29.0617372321,-29.0607368625,-29.0937490592,-29.0577357537,-29.0267242961,-29.0627376017,-29.0247235569,-29.0577357537,-29.0237231873,-29.2007886064,-29.0597364929,138.983460959,138.886444582,139.221501141,139.180494219,139.084478011,139.006464842,139.183494725,139.181494387,139.150489154,139.150489154,139.17949405,139.285511946,139.044471257,139.144488141,138.898446608,139.043471088,139.143487972,139.040470582,139.070475647,139.077476829,138.738419595,139.219500803,139.148488816,139.180494219,139.143487972,139.143487972,139.108482063,139.078476998,139.143487972,139.012465855,139.17949405,139.143487972,101.803,101.782,101.789,101.82,101.8,101.82,101.819,101.806,101.781,101.809,101.834,101.839,101.803,101.768,101.733,101.762,101.767,101.817,101.787,101.76,101.796,101.762,101.768,101.778,101.767,101.755,101.772,101.76,101.767,101.764,101.82,101.768
FLQS310RGRWV,-29.7308653918,-29.652694843,-29.7058107287,-29.8140468732,-29.7418894435,-29.7418894435,-29.7779681584,-29.740887257,-29.7068129152,-29.7418894435,-29.848121215,-29.8831977433,-29.7068129152,-29.6356576721,-29.5344368333,-29.6376620451,-29.67374076,-29.7418894435,-29.6727385734,-29.6015833303,-29.652694843,-29.6366598586,-29.6376620451,-29.7078151017,-29.67374076,-29.5985767707,-29.6386642317,-29.6376620451,-29.67374076,-29.6015833303,-29.7779681584,-29.6727385734,138.88402457,138.834010877,139.157099334,139.058072222,139.02906428,138.986052504,139.16110043,139.027063732,139.030064554,139.123090023,139.094082081,139.230119326,138.991053873,139.078077699,138.770993624,138.955044014,139.120089201,139.023062637,138.986052504,139.014060172,138.791999375,139.154098512,139.085079616,139.094082081,139.120089201,139.11208701,138.987052778,139.128091392,139.120089201,138.957044562,139.088080438,139.121089475,101.987,101.961,101.954,102.005,101.979,101.983,101.982,101.979,101.966,101.971,102.016,102.018,101.969,101.933,101.919,101.945,101.945,101.98,101.956,101.925,101.964,101.928,101.934,101.96,101.945,101.916,101.942,101.93,101.945,101.93,101.989,101.944
FLQS3106GRWV,-29.5035431849,-29.4405270735,-29.4835380701,-29.5875646667,-29.5165465094,-29.5165465094,-29.5455539258,-29.5175467652,-29.4835380701,-29.5195472766,-29.6215733617,-29.6565823125,-29.4755360243,-29.4145204244,-29.3084933164,-29.4125199129,-29.4475288637,-29.5165465094,-29.4455283522,-29.3765107064,-29.4405270735,-29.4125199129,-29.4115196572,-29.4825378144,-29.4475288637,-29.3775109621,-29.4115196572,-29.4135201686,-29.4475288637,-29.3765107064,-29.5535559717,-29.4495293751,138.973493179,138.851440051,139.217599435,139.139565468,139.110552839,139.07053542,139.306638192,139.11255371,139.145568081,139.147568952,139.141566339,139.281627305,139.201592467,139.111553275,138.867447019,139.044524098,139.138565033,139.103549791,139.071535856,139.073536727,138.781409568,139.214598129,139.111553275,139.210596387,139.138565033,139.141566339,139.071535856,139.076538033,139.138565033,139.03952192,139.139565468,139.07053542,101.777,101.762,101.749,101.797,101.771,101.774,101.766,101.771,101.755,101.769,101.81,101.812,101.747,101.731,101.709,101.735,101.741,101.771,101.746,101.719,101.768,101.721,101.73,101.749,101.741,101.714,101.733,101.733,101.741,101.722,101.783,101.748
FLQS30ZQGRWV,-29.6289396389,-29.5539549764,-29.6019451604,-29.7089232789,-29.6369380029,-29.6339386164,-29.6729306409,-29.6369380029,-29.6039447514,-29.6379377984,-29.7439161214,-29.7779091684,-29.6039447514,-29.5349588619,-29.4299803344,-29.5289600889,-29.5699517044,-29.6379377984,-29.5699517044,-29.4939672464,-29.5579541584,-29.5329592709,-29.5339590664,-29.5989457739,-29.5699517044,-29.4979664284,-29.5359586574,-29.5359586574,-29.5699517044,-29.4989662239,-29.6739304364,-29.5699517044,138.849487001,138.881484348,139.098466356,139.095466605,138.993475062,138.873485011,139.127463952,139.058469673,139.060469507,139.095466605,139.125464118,139.203457651,139.02147274,139.051470253,138.806490566,138.908482109,139.054470004,139.096466522,139.013473404,138.908482109,138.679501096,139.157461464,139.054470004,139.013473404,139.054470004,139.079467931,139.011473569,139.087467268,139.054470004,138.985475725,139.086467351,139.05247017,101.98,101.948,101.948,101.991,101.971,101.98,101.974,101.966,101.952,101.963,102.002,102.009,101.956,101.926,101.905,101.936,101.939,101.963,101.943,101.922,101.966,101.916,101.925,101.954,101.939,101.909,101.93,101.923,101.939,101.917,101.978,101.94
FLQS30YUGRWV,-29.4176023732,-29.3446182455,-29.3926078089,-29.4985847614,-29.4256006338,-29.4256006338,-29.4635923715,-29.4256006338,-29.394607374,-29.4285999815,-29.5335771514,-29.5685695414,-29.3906082438,-29.3236228115,-29.2226447718,-29.3256223766,-29.3556158538,-29.429599764,-29.3556158538,-29.2856310738,-29.3466178106,-29.3206234638,-29.3246225941,-29.3936075915,-29.3556158538,-29.2906299866,-29.3206234638,-29.3266221592,-29.3556158538,-29.2856310738,-29.4605930237,-29.3556158538,138.917153995,138.8251817,139.153082926,139.084103705,138.986133217,138.916154296,139.125091358,139.021122677,139.089102199,139.120092864,139.121092563,139.257051608,138.951143757,139.077105813,138.830180194,139.016124182,139.021122677,139.05311304,138.951143757,138.951143757,138.745205791,139.021122677,139.083104006,139.125091358,139.021122677,139.072107319,138.951143757,139.051113643,139.021122677,138.916154296,139.021122677,138.951143757,101.85,101.829,101.82,101.868,101.847,101.853,101.85,101.844,101.826,101.837,101.878,101.881,101.836,101.799,101.78,101.805,101.817,101.843,101.822,101.795,101.836,101.803,101.799,101.823,101.817,101.787,101.809,101.803,101.817,101.798,101.858,101.822
FLQS30X6GRWY,-29.2778084828,-29.2548282557,-29.2598239572,-29.3647336897,-29.2957930084,-29.2788076231,-29.3287646386,-29.2937947277,-29.2608230975,-29.294793868,-29.4007027408,-29.4706425625,-29.2608230975,-29.1898841356,-29.087971824,-29.1918824162,-29.2258531867,-29.2937947277,-29.226852327,-29.1549142247,-29.2568265363,-29.1908832759,-29.1918824162,-29.2598239572,-29.2258531867,-29.1549142247,-29.1928815565,-29.1918824162,-29.2258531867,-29.1389279798,-29.3307629192,-29.226852327,139.134619798,138.99060156,139.287639176,139.21763031,139.154622331,139.029606499,139.285638923,139.246633983,139.219630564,139.285638923,139.25663525,139.355647789,139.178625371,139.20562879,138.95759738,139.146621318,139.245633857,139.185626257,139.110616758,139.139620431,138.830581295,139.245633857,139.212629677,139.25363487,139.245633857,139.204628664,139.172624611,139.178625371,139.245633857,139.029606499,139.21763031,139.210629424,101.993,101.996,101.974,102.021,101.999,102.002,102.001,101.99,101.98,101.988,102.031,102.051,101.983,101.953,101.933,101.958,101.964,101.995,101.975,101.944,102.01,101.95,101.953,101.976,101.964,101.939,101.957,101.955,101.964,101.947,102.007,101.967
FLQS30X6GRWV,-29.6463111691,-29.5732906982,-29.6263055606,-29.731335005,-29.660315095,-29.6613153754,-29.6943246294,-29.6593148146,-29.627305841,-29.6613153754,-29.7643442589,-29.8003543542,-29.6263055606,-29.5572862114,-29.4502562062,-29.5572862114,-29.5922960262,-29.6593148146,-29.5912957458,-29.5202758358,-29.5742909786,-29.5572862114,-29.556285931,-29.6253052802,-29.5922960262,-29.518275275,-29.5572862114,-29.5572862114,-29.5922960262,-29.5202758358,-29.6963251902,-29.5912957458,138.958058656,138.864015303,139.198169345,139.124135216,139.093120919,138.987072031,139.158150897,139.123134755,139.092120458,139.188164733,139.161152281,139.295214082,139.056103854,139.114130604,138.900031906,139.081115384,139.122134294,139.088118613,139.050101087,139.074112156,138.78697979,139.219179031,139.121133833,139.158150897,139.122134294,139.141143057,139.051101548,139.052102009,139.122134294,138.987072031,139.151147669,139.120133371,102.192,102.171,102.164,102.211,102.186,102.195,102.194,102.183,102.173,102.178,102.221,102.224,102.175,102.143,102.119,102.146,102.156,102.186,102.162,102.132,102.178,102.135,102.142,102.167,102.156,102.126,102.149,102.149,102.156,102.14,102.195,102.156
FLQS30WFGRWV,-29.2171591328,-29.192150437,-29.198152524,-29.341202264,-29.2331646982,-29.2331646982,-29.2681768723,-29.2321643503,-29.1991528719,-29.234165046,-29.3011883507,-29.371212699,-29.198152524,-29.1301288715,-29.0230916534,-29.1311292193,-29.1641406977,-29.2311640025,-29.1651410456,-29.0931160017,-29.1461344368,-29.1291285236,-29.1291285236,-29.1991528719,-29.1641406977,-29.0931160017,-29.1321295671,-29.1311292193,-29.1641406977,-29.0931160017,-29.2691772201,-29.1641406977,138.853755065,138.708758454,139.050750461,139.054750368,138.987751934,138.945752915,139.054750368,139.045750578,138.987751934,139.019751186,139.08374969,139.227746325,138.982752051,138.976752191,138.813756,138.948752845,139.018751209,138.978752144,138.946752892,138.977752167,138.710758407,139.154748031,139.050750461,139.117748896,139.018751209,139.039750719,138.946752892,138.982752051,139.018751209,138.948752845,139.048750508,138.978752144,101.741,101.744,101.718,101.774,101.737,101.74,101.745,101.731,101.723,101.734,101.756,101.771,101.723,101.697,101.668,101.7,101.707,101.737,101.713,101.683,101.725,101.682,101.691,101.712,101.707,101.677,101.7,101.697,101.707,101.685,101.746,101.71
FLQS30VBGRWV,-29.6751244689,-29.6030561665,-29.6521026501,-29.7602051037,-29.6881368013,-29.6871358526,-29.7241709525,-29.6871358526,-29.6531035987,-29.6891377499,-29.7922354603,-29.8272686629,-29.6521026501,-29.5840381422,-29.519977429,-29.5840381422,-29.6180703961,-29.6871358526,-29.6190713448,-29.5490049397,-29.6040571151,-29.5850390909,-29.5840381422,-29.6521026501,-29.6180703961,-29.5460020937,-29.5840381422,-29.5850390909,-29.6180703961,-29.548003991,-29.7231700038,-29.6190713448,138.898169375,138.797166343,139.137176549,139.068174478,139.037173547,138.993172226,139.17417766,139.097175348,139.099175408,139.131176369,139.133176429,139.240179641,139.029173307,139.126176219,138.780165832,138.999172406,139.095175288,139.029173307,139.023173127,139.023173127,138.727164241,139.20017844,139.095175288,139.102175498,139.095175288,139.087175048,138.995172286,139.060174238,139.095175288,138.965171386,139.066174418,139.095175288,102.13,102.11,102.101,102.149,102.123,102.127,102.126,102.118,102.105,102.116,102.156,102.161,102.11,102.075,102.079,102.086,102.091,102.124,102.097,102.07,102.116,102.069,102.078,102.104,102.091,102.064,102.086,102.081,102.091,102.074,102.135,102.091
FLQS30UFGRWV,-29.3343251439,-29.2624223929,-29.3103575602,-29.4172130376,-29.4022332977,-29.3463089358,-29.3672805715,-29.3453102865,-29.3123548589,-29.3463089358,-29.4511671145,-29.4851211914,-29.3113562096,-29.2274696666,-29.1375912278,-29.2434480558,-29.2764034833,-29.3323278453,-29.2764034833,-29.2064980309,-29.2614237435,-29.2404521078,-29.2414507571,-29.3113562096,-29.2764034833,-29.2424494064,-29.2434480558,-29.2424494064,-29.2764034833,-29.2064980309,-29.3822603113,-29.2774021327,138.959327618,138.870290886,139.230439465,139.124395717,138.949323491,139.021353207,139.019352382,139.095383748,139.157409337,139.19542502,139.1624114,139.267454736,139.053366414,138.984337936,138.903304506,139.054366827,139.122394892,138.949323491,139.052366001,139.078376732,138.788257043,139.223436576,139.088380859,139.163411813,139.122394892,139.076375907,139.054366827,139.053366414,139.122394892,139.019352382,139.15840975,139.193424195,101.783,101.762,101.751,101.802,101.811,101.783,101.791,101.777,101.758,101.768,101.812,101.817,101.767,101.739,101.71,101.739,101.747,101.783,101.753,101.723,101.769,101.724,101.736,101.757,101.747,101.737,101.739,101.739,101.747,101.728,101.786,101.741
FLQS30TYGRWV,-29.4455894783,-29.3675720191,-29.416582987,-29.5236069374,-29.4515908213,-29.4525910451,-29.4875988793,-29.4505905974,-29.416582987,-29.4525910451,-29.5576145478,-29.5936226058,-29.416582987,-29.3455670948,-29.2425440398,-29.3495679901,-29.3815751528,-29.4515908213,-29.4185834347,-29.313559932,-29.3665717953,-29.3485677663,-29.3485677663,-29.416582987,-29.3815751528,-29.3105592605,-29.3495679901,-29.3485677663,-29.3815751528,-29.3125597082,-29.489599327,-29.4665941788,138.881810553,138.830805849,139.170837213,139.127833247,139.063827343,139.019823284,139.159836199,139.09383011,139.12483297,139.131833616,139.131833616,139.237843394,139.024823745,139.154835737,138.839806679,139.025823837,139.118832416,139.087829557,138.984820055,138.984820055,138.787801882,139.159836199,139.091829926,139.154835737,139.118832416,139.11583214,139.021823468,139.058826881,139.118832416,139.020823376,139.09383011,139.082829095,101.975,101.949,101.94,101.986,101.963,101.967,101.969,101.96,101.944,101.957,101.999,102.004,101.952,101.913,101.899,101.925,101.931,101.961,101.956,101.915,101.952,101.914,101.92,101.941,101.931,101.902,101.926,101.922,101.931,101.911,101.975,101.967
FLQS30T7GRWV,-29.5407247142,-29.4698093959,-29.5197497609,-29.6216281055,-29.5537092091,-29.5547080164,-29.5876686573,-29.5517115945,-29.5197497609,-29.5537092091,-29.656586361,-29.6925434238,-29.5207485682,-29.4478356353,-29.3419620614,-29.4488344426,-29.4837926981,-29.5517115945,-29.4837926981,-29.4128773798,-29.4718070105,-29.4488344426,-29.4488344426,-29.5197497609,-29.4837926981,-29.3958976556,-29.4498332499,-29.4508320572,-29.4837926981,-29.4148749944,-29.5896662719,-29.4847915054,138.976613503,138.85260314,139.21363331,139.177630301,139.144627543,139.037618601,139.179630468,139.141627293,139.081622278,139.14662771,139.147627794,139.282639076,139.105624284,139.134626708,138.883605731,139.071621443,139.108624535,139.110624702,139.069621275,139.064620858,138.766595953,139.208632892,139.106624368,139.108624535,139.108624535,139.005615927,139.069621275,139.074621693,139.108624535,139.008616178,139.109624618,139.1046242,101.904,101.886,101.876,101.919,101.895,101.904,101.905,101.894,101.887,101.895,101.935,101.938,101.885,101.854,101.833,101.86,101.87,101.897,101.874,101.846,101.894,101.848,101.857,101.884,101.87,101.844,101.86,101.86,101.87,101.851,101.912,101.871
FLQS30S7GRWV,-29.7388424019,-29.6678117281,-29.7548493143,-29.8288812843,-29.7908648673,-29.7928657313,-29.8258799882,-29.7908648673,-29.7228354895,-29.7928657313,-29.8618955411,-29.89591023,-29.7568501784,-29.6858195045,-29.5837754379,-29.6888208006,-29.6868199366,-29.7918652993,-29.7228354895,-29.6528052477,-29.6698125921,-29.6878203686,-29.6868199366,-29.7218350575,-29.6868199366,-29.6508043836,-29.6898212326,-29.6888208006,-29.6868199366,-29.6508043836,-29.8278808522,-29.6878203686,138.763779507,138.700800485,138.932723234,138.929724233,138.859747541,138.790770517,138.958714577,138.891736886,138.896735221,138.9307239,138.960713911,139.069677616,138.855748873,138.88373955,138.64182013,138.822759861,138.922726564,138.887738218,138.851750205,138.816761859,138.5578481,138.993702922,138.890737219,138.928724566,138.922726564,138.877741548,138.852749872,138.855748873,138.922726564,138.787771516,138.889737552,139.008697928,102.069,102.046,102.06,102.09,102.081,102.088,102.086,102.078,102.051,102.076,102.1,102.105,102.068,102.038,102.018,102.044,102.035,102.079,102.055,102.03,102.059,102.029,102.037,102.048,102.035,102.024,102.042,102.041,102.035,102.032,102.093,102.028
FLQS30RRGRWV,-29.4210006441,-29.348052711,-29.401014909,-29.5089378785,-29.4379885189,-29.4389878057,-29.506939305,-29.4709649819,-29.4030134825,-29.4379885189,-29.5419143415,-29.5768893779,-29.4020141957,-29.3340626964,-29.2271390136,-29.3340626964,-29.3680384461,-29.4709649819,-29.3690377328,-29.2980883732,-29.348052711,-29.3320641229,-29.3330634096,-29.4030134825,-29.3680384461,-29.2970890865,-29.3340626964,-29.3340626964,-29.3680384461,-29.2970890865,-29.4729635554,-29.3680384461,138.898609229,138.763586278,139.051635239,139.018629629,139.023630479,138.951618239,139.021630139,138.986624189,139.021630139,139.054635749,139.053635579,139.16065377,138.951618239,138.984623849,138.778588828,138.952618409,138.986624189,138.945617219,138.985624019,138.948617729,138.726579988,139.013628779,139.020629969,139.088641529,138.986624189,139.014628949,138.985624019,138.988624529,138.986624189,138.884606849,139.054635749,139.053635579,101.89,101.872,101.869,101.914,101.886,101.892,101.913,101.902,101.872,101.884,101.925,101.929,101.878,101.848,101.823,101.851,101.862,101.905,101.862,101.837,101.875,101.845,101.845,101.867,101.862,101.831,101.848,101.848,101.862,101.842,101.897,101.856
FLQS30R2GRWV,-29.1056151053,-29.0335715035,-29.0846023881,-29.189665974,-29.1176223722,-29.1546447787,-29.1526435675,-29.1176223722,-29.0836017825,-29.1196235834,-29.2236865637,-29.258707759,-29.0846023881,-29.0135593919,-28.9094964116,-29.0155606031,-29.0475799816,-29.1186229778,-29.0495811928,-28.9795388022,-29.0335715035,-29.0135593919,-29.0145599975,-29.0826011769,-29.0475799816,-28.977537591,-29.0165612087,-29.0155606031,-29.0475799816,-28.9785381966,-29.1536441731,-29.0485805872,139.029744059,138.934744234,139.270743615,139.161743816,139.165743808,139.058744005,139.231743687,139.2247437,139.226743696,139.260743634,139.261743632,139.340743486,139.158743821,139.220743707,138.949744206,139.157743823,139.196743751,139.189743764,139.154743829,139.154743829,138.858744374,139.267743621,139.196743751,139.230743689,139.196743751,139.215743716,139.154743829,139.191743761,139.196743751,139.093743941,139.195743753,139.196743751,101.925,101.905,101.897,101.947,101.919,101.942,101.927,101.914,101.9,101.912,101.953,101.96,101.906,101.873,101.854,101.879,101.889,101.917,101.893,101.865,101.911,101.869,101.875,101.899,101.889,101.859,101.879,101.876,101.889,101.87,101.93,101.889
FLQS30QXGRWV,-29.6814762347,-29.6134980466,-29.6664810462,-29.7694480076,-29.6964714233,-29.6974711025,-29.7324598758,-29.6974711025,-29.6664810462,-29.6984707818,-29.8034371017,-29.8374261957,-29.6624823292,-29.5935044618,-29.4875384627,-29.5935044618,-29.6284932351,-29.699470461,-29.6284932351,-29.5615147262,-29.6154974051,-29.5925047826,-29.5925047826,-29.6624823292,-29.6284932351,-29.5565163301,-29.5975031788,-29.5925047826,-29.6284932351,-29.5555166508,-29.7344592343,-29.6324919521,138.941078885,138.806037015,139.24317255,139.063116723,139.034107729,138.961085088,139.103129129,139.093126028,138.995095633,139.128136883,139.067117964,139.207161385,138.962085398,139.090125097,138.844048801,139.024104628,139.092125718,139.060115793,139.061116103,138.953082607,138.720010343,139.134138744,139.063116723,139.101128509,139.092125718,139.086123857,138.910069271,139.060115793,139.092125718,138.964086019,139.092125718,138.982091601,101.913,101.897,101.881,101.937,101.911,101.917,101.919,101.906,101.902,101.903,101.95,101.952,101.904,101.865,101.844,101.871,101.879,101.91,101.882,101.864,101.905,101.861,101.867,101.892,101.879,101.851,101.882,101.868,101.879,101.861,101.921,101.89
FLQS30QPGRWV,-29.3918553619,-29.3178154212,-29.3668418684,-29.4749001602,-29.402861299,-29.4038618387,-29.4388807296,-29.402861299,-29.3698434876,-29.4048623785,-29.5089185113,-29.5439374021,-29.3678424082,-29.2968040867,-29.1957495731,-29.2988051662,-29.333824057,-29.4048623785,-29.333824057,-29.2627857356,-29.318815961,-29.2968040867,-29.3358251365,-29.3678424082,-29.333824057,-29.2617851959,-29.3008062457,-29.2998057059,-29.333824057,-29.2617851959,-29.4398812693,-29.3348245968,139.016539214,139.012537615,139.257635536,139.187607559,139.155594769,139.084566392,139.258635935,139.220620748,139.192609557,139.224622347,139.225622746,139.329664312,139.149592371,139.173601963,138.931505242,139.115578782,139.21261755,139.15359397,139.109576384,139.110576784,138.883486057,139.248631939,139.175602762,139.220620748,139.21261755,139.137587575,139.110576784,139.114578382,139.21261755,139.116579182,139.15359397,139.180604761,101.924,101.895,101.894,101.942,101.917,101.923,101.923,101.911,101.901,101.912,101.953,101.958,101.903,101.874,101.854,101.879,101.885,101.918,101.893,101.866,101.906,101.868,101.889,101.898,101.885,101.863,101.88,101.88,101.885,101.865,101.932,101.888
FLQS30QMGRWV,-29.471408662,-29.3963719763,-29.4443954552,-29.5514477934,-29.4794125751,-29.4804130643,-29.5144296951,-29.5144296951,-29.4463964334,-29.4814135534,-29.5864649134,-29.6224825225,-29.4443954552,-29.3763621935,-29.2703103444,-29.3783631718,-29.4113793135,-29.5164306734,-29.4463964334,-29.3413450735,-29.4343905637,-29.4133802918,-29.4123798026,-29.4824140426,-29.4113793135,-29.3753617043,-29.4133802918,-29.4133802918,-29.4113793135,-29.3403445844,-29.5524482825,-29.4483974117,138.956127926,138.871111941,139.274187731,139.167167608,139.10415576,139.030141843,139.203174378,139.172168548,139.139162342,139.175169113,139.175169113,139.310194501,139.064148237,139.159166104,138.909119087,139.093153691,139.13016065,139.102155384,139.13016065,139.090153127,138.865110812,139.200173814,139.129160462,139.16616742,139.13016065,139.158165916,139.129160462,139.092153503,139.13016065,139.095154067,139.168167796,139.199173626,101.836,101.813,101.799,101.85,101.827,101.833,101.832,101.835,101.811,101.821,101.863,101.866,101.816,101.781,101.761,101.788,101.798,101.841,101.811,101.773,101.829,101.793,101.798,101.823,101.798,101.781,101.799,101.802,101.798,101.772,101.85,101.806
FLQS30Q9GRWY,-29.38446429,-29.3494696917,-29.360467994,-29.4664516346,-29.396462438,-29.399461975,-29.4304571906,-29.3954625923,-29.3614678397,-29.3954625923,-29.5004463873,-29.5354409856,-29.363467531,-29.2904787974,-29.1884945394,-29.2934783344,-29.3264732413,-29.3944627467,-29.327473087,-29.2564840447,-29.3144750933,-29.327473087,-29.2934783344,-29.360467994,-29.3264732413,-29.255484199,-29.3284729327,-29.2934783344,-29.3264732413,-29.258483736,-29.4314570363,-29.327473087,138.898391715,138.878394682,139.173350919,139.096362342,139.104361155,138.959382666,139.13135715,139.091363084,139.09536249,139.132357001,139.130357298,139.238341277,139.067366644,139.135356556,138.845399577,139.027372578,139.063367237,139.059367831,139.02837243,139.024373023,138.72641723,139.13735626,139.103361303,139.097362194,139.063367237,139.092362935,138.993377622,139.098362045,139.063367237,138.991377918,139.132357001,139.13135715,101.81,101.798,101.778,101.826,101.798,101.811,101.809,101.798,101.784,101.795,101.836,101.841,101.787,101.753,101.737,101.763,101.773,101.8,101.777,101.749,101.797,101.768,101.757,101.784,101.773,101.743,101.78,101.757,101.773,101.753,101.809,101.768
FLQS30Q9GRWV,-29.532545951,-29.4634651432,-29.508517844,-29.617645497,-29.5455611757,-29.5455611757,-29.5806021652,-29.5455611757,-29.5115213573,-29.5465623468,-29.648681802,-29.6867263048,-29.5105201862,-29.4394370361,-29.3393199232,-29.4404382072,-29.4764803678,-29.5455611757,-29.4734768545,-29.4053972177,-29.4724756833,-29.4414393783,-29.438435865,-29.5115213573,-29.4764803678,-29.40739956,-29.4394370361,-29.4404382072,-29.4764803678,-29.40739956,-29.5816033363,-29.4784827101,138.959609573,138.821562276,139.199691829,139.092655156,139.056642818,138.982617456,139.16367949,139.159678119,139.165680176,139.1966908,139.160678462,139.304727816,139.018629794,139.084652415,138.910592779,139.057643161,139.154676406,139.122665438,139.059643846,139.052641447,138.824563304,139.233703482,139.091654814,139.160678462,139.154676406,139.120664753,139.057643161,139.011627395,139.154676406,139.052641447,139.159678119,139.201692514,101.96,101.944,101.93,101.982,101.957,101.963,101.962,101.948,101.934,101.945,101.989,101.991,101.946,101.913,101.888,101.915,101.921,101.951,101.928,101.902,101.947,101.901,101.912,101.935,101.921,101.897,101.915,101.919,101.921,101.903,101.962,101.918
FLQS30Q3GRWV,-29.7865265013,-29.7154918586,-29.7645157669,-29.8725684628,-29.8015338201,-29.8015338201,-29.8365508975,-29.8005333322,-29.7685177186,-29.8025343081,-29.9065850522,-29.9406016417,-29.7685177186,-29.6864777088,-29.5914313559,-29.6984835639,-29.7725196703,-29.8005333322,-29.7304991775,-29.6614655106,-29.7164923465,-29.6974830759,-29.696482588,-29.7665167428,-29.7725196703,-29.6614655106,-29.6984835639,-29.6994840518,-29.7725196703,-29.6614655106,-29.8375513854,-29.7325001533,138.804530796,138.698543372,138.994508255,138.960512289,138.856524627,138.824528424,138.923516679,138.928516085,139.002507306,138.962512052,139.032503747,139.099495799,138.982509679,138.831527593,138.752536965,138.928516085,138.885521187,138.922516797,138.891520475,138.88752095,138.625552032,138.999507662,138.965511696,139.033503629,138.885521187,138.91751739,138.818529135,138.964511815,138.885521187,138.823528542,138.958512526,138.999507662,102.064,102.045,102.04,102.085,102.066,102.069,102.074,102.059,102.041,102.057,102.092,102.1,102.042,102.023,101.992,102.019,102.052,102.06,102.035,102.008,102.052,102.013,102.016,102.037,102.052,102.006,102.029,102.017,102.052,102.014,102.071,102.027
FLQS30Q2GRWV,-29.4542810646,-29.3792344863,-29.4122549807,-29.5373326113,-29.4672891382,-29.4682897592,-29.5013102537,-29.4672891382,-29.4332680227,-29.4672891382,-29.5713537268,-29.6053748423,-29.4322674016,-29.3602226864,-29.2581593399,-29.4122549807,-29.396245044,-29.5173201904,-29.3982462861,-29.3262015709,-29.3792344863,-29.3622239285,-29.3632245495,-29.4312667806,-29.396245044,-29.3071897711,-29.3972456651,-29.4122549807,-29.396245044,-29.328202813,-29.5023108747,-29.4472767173,138.87780088,138.85779702,139.019828289,139.111846047,139.07983987,138.97381941,139.147852995,139.110845854,139.111846047,139.11284624,139.109845661,139.2188667,138.978820375,139.074838905,138.797785439,138.879801266,139.047833694,138.984821533,139.005825587,139.00682578,138.780782157,139.147852995,139.111846047,139.109845661,139.047833694,139.019828289,138.975819796,138.914808022,139.047833694,139.012826938,139.077839484,139.019828289,101.867,101.839,101.838,101.88,101.855,101.864,101.863,101.852,101.839,101.852,101.894,101.898,101.849,101.813,101.796,101.85,101.83,101.883,101.834,101.805,101.845,101.808,101.811,101.838,101.83,101.797,101.836,101.847,101.83,101.806,101.869,101.852
