,Distance_X_LOGO_MainBoard_Corner1,Distance_X_LOGO_MainBoard_Corner2,Distance_X_LOGO_MainBoard_Corner3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_MainBoard_Corner1,Distance_Y_LOGO_MainBoard_Corner2,Distance_Y_LOGO_MainBoard_Corner3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_MainBoard_Corner1,Angle_MainBoard_Corner2,Angle_MainBoard_Corner3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS3115GRWV,-50.1357774242,-50.1337767148,-50.2018008352,-50.1647877108,-50.1667884203,-50.2308111218,-50.0197362777,-50.063751885,-49.9927267005,-50.2308111218,-50.1977994163,-50.1687891297,-49.9507118026,-50.198799771,-50.1317760054,-49.9887252816,-50.0967635905,-50.0327408889,-50.077756851,-50.1667884203,-49.9987288288,-50.0977639452,-50.1347770695,-50.0987642999,-49.9567139309,-50.1287749412,-49.8806869728,-50.2178065105,-50.1307756507,-50.1427799072,-50.0617511756,-50.0667529491,130.109901856,130.037860383,130.036859807,130.00584195,130.033858079,130.146923168,130.110902432,130.180942752,130.109901856,130.074881695,130.10890128,130.072880543,130.109901856,130.038860959,130.039861535,130.100896671,130.147923744,130.214962337,130.171937568,130.144922016,130.144922016,130.250983073,130.073881119,130.180942752,130.078883999,130.250983073,130.283001506,130.206957729,130.245980193,129.973823518,130.1789416,130.252984225,111.051,111.061,111.087,111.078,111.075,111.082,111.007,111.013,110.996,111.093,111.075,111.069,110.98,111.086,111.06,110.996,111.031,110.996,111.02,111.058,110.994,111.016,111.056,111.027,110.987,111.028,110.928,111.068,111.029,111.074,111.013,111.004
FLQS310RGRWV,-50.656278879,-50.6582830443,-50.7244204977,-50.691351771,-50.6923538536,-50.7564871417,-50.5420414595,-50.5851310125,-50.513983146,-50.7554850591,-50.723418415,-50.6923538536,-50.4718956756,-50.7254225803,-50.6572809616,-50.5019581545,-50.6222080697,-50.5520622858,-50.5861330951,-50.691351771,-50.513983146,-50.6202039044,-50.6572809616,-50.6192018218,-50.4738998409,-50.6542747138,-50.4107686354,-50.723418415,-50.6522705485,-50.6582830443,-50.5871351778,-50.5841289299,129.930444777,129.860427293,129.860427293,129.822417802,129.860427293,129.966453769,129.941447525,130.001462511,129.930444777,129.893435536,129.930444777,129.893435536,129.973455517,129.858426794,129.861427543,129.939447025,129.966453769,130.035471003,130.001462511,129.967454019,129.966453769,130.070479745,129.893435536,130.000462261,129.937446526,130.073480495,130.102487738,130.035471003,130.071479995,129.78940956,130.001462511,130.112490236,111.191,111.202,111.227,111.22,111.215,111.224,111.145,111.153,111.136,111.234,111.216,111.21,111.114,111.228,111.201,111.131,111.172,111.135,111.153,111.199,111.131,111.156,111.197,111.166,111.12,111.169,111.071,111.201,111.168,111.213,111.154,111.136
FLQS3106GRWV,-50.4350353725,-50.4340348957,-50.508070178,-50.4710525369,-50.4700520601,-50.5340825745,-50.3199805418,-50.3620005669,-50.2919671918,-50.5690992621,-50.5030677941,-50.4700520601,-50.2479462131,-50.5030677941,-50.4360358493,-50.2799614703,-50.3970172545,-50.3630010437,-50.3640015205,-50.4690515833,-50.2949686221,-50.3980177313,-50.4340348957,-50.4300329885,-50.2519481202,-50.4290325118,-50.1819147451,-50.5000663637,-50.4630487226,-50.4390372796,-50.3610000902,-50.3660024741,130.048511632,129.977468196,129.976467585,129.942446784,129.974466361,130.08653488,130.049512244,130.118554456,130.048511632,130.014490832,130.050512856,130.011488997,130.050512856,129.977468196,129.977468196,130.045509797,130.088536103,130.153575869,130.12055568,130.085534268,130.083533044,130.187596669,130.011488997,130.118554456,130.019493891,130.159579539,130.221617469,130.157578316,130.187596669,129.909426596,130.117553845,130.194600951,110.989,110.999,111.028,111.019,111.014,111.022,110.945,110.951,110.934,111.045,111.015,111.008,110.917,111.026,111.0,110.93,110.969,110.946,110.951,110.997,110.93,110.954,110.994,110.977,110.923,110.97,110.867,110.998,110.979,111.011,110.951,110.941
FLQS30ZQGRWV,-50.5952441266,-50.5932444726,-50.6982263048,-50.6282384167,-50.6662318416,-50.6952268239,-50.4852631596,-50.5222567576,-50.4512690425,-50.7292209409,-50.6622325338,-50.6272385897,-50.4142754445,-50.6642321877,-50.6322377246,-50.4502692155,-50.5582505286,-50.5292555464,-50.5232565845,-50.6312378976,-50.4532686965,-50.5612500095,-50.5922446457,-50.5622498365,-50.4162750985,-50.6312378976,-50.3802813275,-50.6602328798,-50.5932444726,-50.6042425693,-50.5202571036,-50.5292555464,129.904529159,129.833537614,129.834537495,129.798541781,129.832537733,129.940524872,129.90552904,129.974520823,129.903529278,129.869533327,129.904529159,129.900529635,129.902529397,129.833537614,129.836537256,129.898529873,129.940524872,130.008516775,129.975520704,129.937525229,129.940524872,130.044512488,129.869533327,129.973520942,129.875532612,130.076508677,130.111504509,130.011516417,130.039513083,129.798541781,129.973520942,130.078508439,111.214,111.224,111.264,111.242,111.252,111.247,111.172,111.176,111.159,111.271,111.24,111.227,111.145,111.251,111.238,111.159,111.194,111.173,111.176,111.223,111.154,111.18,111.218,111.191,111.15,111.202,111.101,111.223,111.193,111.233,111.175,111.163
FLQS30YUGRWV,-50.4610159703,-50.4580165638,-50.5290025187,-50.4910100358,-50.4930096402,-50.5949894628,-50.3510377302,-50.3890302131,-50.317044456,-50.5949894628,-50.5270029144,-50.4940094423,-50.2800517752,-50.5270029144,-50.4940094423,-50.3140450494,-50.421023883,-50.3600359498,-50.3860308066,-50.4950092445,-50.3240430713,-50.4280224983,-50.4620157725,-50.4280224983,-50.2870503905,-50.4990084533,-50.2440588966,-50.5270029144,-50.4580165638,-50.4680145856,-50.3890302131,-50.3930294219,129.909232819,129.838272567,129.840271447,129.804291601,129.835274246,129.946212106,129.910232259,129.981192512,129.910232259,129.872253533,129.890243456,129.871254093,129.908233379,129.838272567,129.840271447,129.901237298,129.947211546,130.013174597,129.979193631,129.943213785,129.945212665,130.048155003,129.872253533,129.979193631,129.877250734,130.047155563,130.082135969,129.995184674,130.045156683,129.768311754,129.979193631,130.052152764,111.115,111.124,111.151,111.142,111.138,111.161,111.073,111.077,111.06,111.172,111.143,111.133,111.046,111.151,111.138,111.06,111.094,111.061,111.076,111.123,111.057,111.082,111.121,111.092,111.053,111.109,111.006,111.127,111.094,111.139,111.077,111.068
FLQS30X6GRWY,-50.3171395862,-50.3181388145,-50.3810901965,-50.351113348,-50.3870855663,-50.4100678169,-50.2032275616,-50.2781696831,-50.173250713,-50.4470392634,-50.3840878814,-50.3531118045,-50.1322823533,-50.3870855663,-50.3541110328,-50.166256115,-50.2761712265,-50.2122206162,-50.2451951496,-50.3521125762,-50.1742499413,-50.2821665962,-50.3181388145,-50.2811673679,-50.1352800381,-50.3501141197,-50.0663332864,-50.3840878814,-50.3461172065,-50.3521125762,-50.2811673679,-50.243196693,130.087594336,130.015586811,129.98658378,129.982583362,130.019587229,130.093594963,130.095595172,130.126598412,130.08859444,130.052590678,130.08859444,130.04859026,130.093594963,130.016586916,130.018587125,130.092594859,130.093594963,130.193605414,130.158601756,130.092594859,130.123598098,130.226608863,130.051590574,130.157601652,130.062591723,130.230609281,130.261612521,130.19260531,130.195605623,129.912576046,130.159601861,130.237610013,111.262,111.273,111.301,111.29,111.299,111.296,111.217,111.241,111.206,111.317,111.287,111.281,111.19,111.299,111.286,111.203,111.245,111.206,111.223,111.274,111.202,111.228,111.267,111.237,111.196,111.253,111.14,111.272,111.257,111.301,111.237,111.211
FLQS30X6GRWV,-50.6076106572,-50.6086109658,-50.6746313307,-50.6796328735,-50.6426214568,-50.7086418218,-50.4985770242,-50.5395896751,-50.4685677674,-50.7076415132,-50.6386202226,-50.6416211482,-50.4295557336,-50.6426214568,-50.6076106572,-50.4655668417,-50.5725998576,-50.5075798012,-50.5395896751,-50.6436217654,-50.4715686931,-50.5746004747,-50.6096112743,-50.5756007833,-50.4325566592,-50.6066103487,-50.3575335173,-50.6256162113,-50.6066103487,-50.6166134342,-50.5355884409,-50.5415902923,130.059637411,129.99058451,129.988582976,129.953556143,129.986581443,130.095665011,130.063640477,130.128690311,130.059637411,130.022609043,130.05663511,130.025611343,130.060638177,129.982578376,129.992586043,130.05663511,130.094664244,130.163717145,130.131692611,130.094664244,130.095665011,130.201746279,130.025611343,130.129691078,130.030615177,130.198743979,130.234771579,130.148705645,130.199744745,129.920530842,130.128690311,130.237773879,111.417,111.427,111.453,111.46,111.441,111.45,111.374,111.38,111.363,111.46,111.429,111.435,111.348,111.441,111.426,111.363,111.398,111.363,111.38,111.425,111.359,111.383,111.422,111.394,111.354,111.395,111.295,111.41,111.395,111.441,111.379,111.365
FLQS30WFGRWV,-50.2630980715,-50.2660989729,-50.332118804,-50.2991088884,-50.2991088884,-50.3631281186,-50.1560659211,-50.1980785408,-50.1280575079,-50.3621278181,-50.3331191044,-50.3021097898,-50.0850445876,-50.3331191044,-50.2650986724,-50.1500641182,-50.2630980715,-50.1620677239,-50.1930770385,-50.3001091889,-50.1250566064,-50.2310884564,-50.2670992733,-50.2300881559,-50.0850445876,-50.2650986724,-50.0210253575,-50.3351197054,-50.2981085879,-50.2630980715,-50.1980785408,-50.1970782404,130.08492062,130.014926044,130.013926121,129.976928988,130.015925966,130.122917676,130.099919458,130.154915197,130.085920543,130.050923254,130.082920775,130.047923487,130.103919148,130.010926353,130.017925811,130.06892186,130.087920388,130.19191233,130.159914809,130.122917676,130.122917676,130.222909928,130.048923409,130.153915274,130.067921937,130.225909696,130.263906752,130.189912485,130.198911788,129.908934256,130.154915197,130.236908844,110.982,110.993,111.019,111.012,111.006,111.015,110.939,110.946,110.93,111.025,111.009,111.002,110.911,111.019,110.992,110.941,110.981,110.928,110.944,110.991,110.923,110.949,110.989,110.959,110.916,110.962,110.863,110.994,110.979,111.008,110.947,110.934
FLQS30VBGRWV,-50.7154294707,-50.7134277566,-50.7844886086,-50.7494586111,-50.7514603253,-50.8175168919,-50.6033334788,-50.6443686187,-50.5723069097,-50.8135134636,-50.7834877515,-50.7484577541,-50.5332734839,-50.7844886086,-50.7164303278,-50.5643000531,-50.6803994733,-50.6123411925,-50.6023326218,-50.7534620394,-50.5763103379,-50.6433677617,-50.7134277566,-50.6803994733,-50.534274341,-50.7164303278,-50.4281834915,-50.7864903227,-50.7164303278,-50.7184320419,-50.6443686187,-50.6083377642,130.02173954,129.950733129,129.948732949,129.915729969,129.949733039,130.056742701,130.034740714,130.090745771,130.01973936,129.984736199,130.02073945,129.981735928,130.032740534,129.949733039,129.950733129,130.030740353,130.056742701,130.125748931,130.091745861,130.05574261,130.05474252,130.159752001,129.984736199,130.090745771,130.000737644,130.162752272,130.194755162,130.127749112,130.160752092,129.881726899,130.090745771,130.170752995,111.375,111.384,111.412,111.403,111.399,111.409,111.33,111.337,111.32,111.418,111.401,111.393,111.303,111.412,111.386,111.316,111.356,111.32,111.321,111.384,111.317,111.327,111.38,111.351,111.308,111.354,111.239,111.386,111.354,111.397,111.337,111.311
FLQS30UFGRWV,-50.3508781884,-50.384834271,-50.4117993954,-50.3828368544,-50.4197890619,-50.516663768,-50.2749763568,-50.3169221059,-50.2100603166,-50.516663768,-50.4817089771,-50.3878303959,-50.2060654834,-50.4667283525,-50.4117993954,-50.2090616083,-50.368854938,-50.2869608566,-50.2719802319,-50.384834271,-50.2510073574,-50.3179208142,-50.3898278126,-50.3548730217,-50.2080629,-50.3418898136,-50.0972062775,-50.4117993954,-50.3828368544,-50.3948213541,-50.3149246893,-50.3189195225,129.92513567,129.889121496,129.878117165,129.893123071,129.884119527,130.053186068,129.959149057,129.993162444,129.958148663,129.913130945,129.948144726,129.924135276,129.956147876,129.884119527,129.878117165,129.945143545,129.987160082,130.063190005,130.018172287,129.994162838,129.994162838,130.098203786,129.922134489,130.029176618,129.926136064,130.088199849,130.132217173,130.053186068,130.063190005,129.824095903,130.028176225,130.103205755,111.058,111.077,111.089,111.076,111.091,111.103,111.024,111.035,110.999,111.124,111.105,111.073,110.998,111.109,111.089,111.001,111.056,111.013,111.014,111.061,111.01,111.02,111.074,111.045,111.004,111.031,110.93,111.063,111.05,111.09,111.029,111.02
FLQS30TYGRWV,-50.540492952,-50.5374923884,-50.6035047874,-50.5754995272,-50.5704985879,-50.6355107991,-50.4704798015,-50.5054863768,-50.3984662753,-50.7155258282,-50.6105061025,-50.5724989636,-50.3924651481,-50.6015044117,-50.5364922005,-50.3914649603,-50.5024858132,-50.437473602,-50.4704798015,-50.5714987758,-50.4394739777,-50.5054863768,-50.5414931399,-50.540492952,-50.3984662753,-50.540492952,-50.2874454224,-50.6105061025,-50.5324914491,-50.5494946428,-50.4664790501,-50.4714799894,129.898457246,129.825454179,129.828454305,129.784452456,129.825454179,129.9354588,129.852455313,129.968460186,129.898457246,129.855455439,129.890456909,129.858455565,129.897457204,129.829454347,129.829454347,129.892456993,129.936458842,130.003461657,129.959459808,129.934458758,129.931458632,130.035463001,129.860455649,129.967460144,129.869456027,130.030462791,130.06946443,129.995461321,130.036463043,129.758451364,129.967460144,130.042463295,111.263,111.273,111.298,111.294,111.286,111.294,111.243,111.239,111.209,111.337,111.292,111.282,111.207,111.297,111.272,111.207,111.243,111.209,111.228,111.27,111.22,111.23,111.27,111.253,111.213,111.244,111.141,111.276,111.24,111.288,111.225,111.216
FLQS30T7GRWV,-50.6018057156,-50.6018057156,-50.6737244273,-50.6357673295,-50.6387639424,-50.7026916861,-50.4559705504,-50.531884746,-50.4280021626,-50.7006939441,-50.6677312013,-50.6367662005,-50.4180134526,-50.6357673295,-50.6038034576,-50.4519750665,-50.5648474888,-50.4999208742,-50.53588023,-50.6367662005,-50.4659592604,-50.5658463598,-50.6028045866,-50.5678441018,-50.4230078076,-50.6008068447,-50.353086838,-50.6657334593,-50.5988091027,-50.6127932966,-50.530885875,-50.533882488,129.922890837,129.85287958,129.850879258,129.817873951,129.848878937,129.959896788,129.921890677,129.993902256,129.922890837,129.887885209,129.923890998,129.883884565,129.924891159,129.853879741,129.85287958,129.918890194,129.960896949,130.029908045,129.992902095,129.957896466,129.956896305,130.061913191,129.885884887,129.991901934,129.893886174,130.062913352,130.093918338,130.029908045,130.056912387,129.778867679,129.993902256,130.067914156,111.194,111.204,111.232,111.222,111.219,111.227,111.138,111.156,111.127,111.237,111.219,111.213,111.123,111.217,111.205,111.137,111.174,111.139,111.158,111.202,111.136,111.159,111.2,111.17,111.129,111.172,111.073,111.202,111.172,111.219,111.156,111.146
FLQS30S7GRWV,-50.6475499362,-50.6855661116,-50.7165793074,-50.7225818614,-50.7235822871,-50.7896103812,-50.5345018356,-50.6125350378,-50.5395039639,-50.7425903748,-50.717579733,-50.681564409,-50.4614707617,-50.7555959085,-50.6475499362,-50.4974860858,-50.6495507875,-50.5415048152,-50.5745188623,-50.6865665373,-50.5385035382,-50.6125350378,-50.6835652603,-50.6485503619,-50.4994869371,-50.6515516389,-50.3934418162,-50.7555959085,-50.6475499362,-50.6855661116,-50.5715175853,-50.5685163083,129.871294965,129.80029699,129.801296962,129.761298103,129.799297019,129.906293966,129.883294623,129.942292939,129.872294936,129.801296962,129.870294993,129.83429602,129.885294565,129.76629796,129.803296905,129.882294651,129.874294879,129.974292026,129.945292854,129.907293938,129.875294851,130.008291057,129.836295963,129.907293938,129.852295507,130.011290971,130.048289915,129.943292911,130.013290914,129.734298873,129.910293852,130.021290686,111.277,111.303,111.314,111.323,111.317,111.327,111.232,111.253,111.236,111.324,111.304,111.296,111.204,111.334,111.288,111.218,111.278,111.221,111.238,111.287,111.235,111.244,111.296,111.272,111.224,111.258,111.154,111.308,111.256,111.312,111.242,111.225
FLQS30RRGRWV,-50.5770639502,-50.5790625696,-50.7169673121,-50.6120397907,-50.6170363393,-50.6729976841,-50.4671398801,-50.4621433315,-50.3891937213,-50.6749963035,-50.644017702,-50.6140384101,-50.3911923408,-50.6490142506,-50.6470156311,-50.4341626591,-50.5400894903,-50.471137119,-50.5121088179,-50.6819914716,-50.4311647299,-50.5430874194,-50.5770639502,-50.5430874194,-50.3891937213,-50.5400894903,-50.2842661999,-50.6490142506,-50.5780632599,-50.5730667113,-50.4651412607,-50.5770639502,130.059860719,129.987841969,129.924825563,129.950832334,129.98984249,130.058860458,130.071863844,130.093869573,130.060860979,130.021850823,130.023851344,130.018850042,130.072864104,129.986841709,129.924825563,130.070863583,130.056859938,130.165888323,130.130879208,130.029852906,130.098870875,130.197896656,130.022851083,130.126878167,130.040855771,130.200897437,130.236906812,130.162887542,130.200897437,129.878813584,130.129878948,130.204898479,111.188,111.2,111.262,111.218,111.214,111.225,111.144,111.139,111.116,111.231,111.219,111.209,111.115,111.227,111.235,111.132,111.174,111.132,111.153,111.233,111.126,111.155,111.194,111.165,111.119,111.153,111.05,111.201,111.168,111.214,111.135,111.167
FLQS30R2GRWV,-50.1612738611,-50.1602732572,-50.2273137181,-50.1922925818,-50.2313161337,-50.2983565947,-50.0502068287,-50.0872291728,-50.0562104521,-50.2583324389,-50.2263131142,-50.1952943935,-49.9801645561,-50.228314322,-50.1592726533,-50.0131844846,-50.1222503092,-50.0582116599,-50.0882297767,-50.1982962052,-50.019188108,-50.1272533286,-50.1602732572,-50.1632750689,-49.9831663678,-50.1592726533,-49.9061198678,-50.2253125104,-50.1582720494,-50.1662768805,-50.0882297767,-50.0922321923,130.160465789,130.089467171,130.089467171,130.055467833,130.088467191,130.196465088,130.165465692,130.231464407,130.160465789,130.123466509,130.161465769,130.123466509,130.164465711,130.089467171,130.091467132,130.161465769,130.16246575,130.265463745,130.229464446,130.193465146,130.194465127,130.298463102,130.12446649,130.232464387,130.133466315,130.302463024,130.333462421,130.267463706,130.297463122,130.021468495,130.229464446,130.305462966,111.172,111.182,111.208,111.199,111.209,111.219,111.128,111.133,111.132,111.214,111.197,111.19,111.102,111.208,111.181,111.115,111.157,111.117,111.133,111.181,111.112,111.139,111.177,111.162,111.108,111.15,111.048,111.181,111.15,111.194,111.134,111.124
FLQS30QXGRWV,-50.605480003,-50.6024808043,-50.6734618406,-50.6704626419,-50.6384711889,-50.7394442125,-50.4905107187,-50.5314997679,-50.4965091162,-50.7374447467,-50.7034538278,-50.6384711889,-50.4205294152,-50.6704626419,-50.6064797359,-50.4525208683,-50.5694896183,-50.5324995008,-50.5324995008,-50.6744615735,-50.4955093832,-50.5674901525,-50.6024808043,-50.5994816055,-50.4215291482,-50.6044802701,-50.3555467763,-50.6704626419,-50.6034805372,-50.6074794688,-50.530500035,-50.5334992337,129.977196963,129.906153675,129.904152456,129.873133556,129.904152456,130.013218912,129.984201231,130.047239641,129.977196963,129.944176843,129.979198182,129.940174405,129.981199402,129.907154285,129.905153066,129.978197573,130.014219521,130.08226098,130.046239031,130.011217692,130.012218302,130.11428049,129.940174405,130.046239031,129.950180501,130.117282319,130.149301829,130.08226098,130.11227927,129.837111607,130.045238422,130.125287196,111.137,111.146,111.174,111.177,111.16,111.183,111.091,111.098,111.095,111.192,111.174,111.155,111.065,111.172,111.148,111.078,111.118,111.093,111.099,111.158,111.089,111.102,111.141,111.124,111.07,111.116,111.015,111.146,111.116,111.158,111.098,111.087
FLQS30QPGRWV,-50.4459625608,-50.5079944863,-50.5079944863,-50.5430125087,-50.4729764638,-50.6130485535,-50.3729249713,-50.4379584414,-50.3679223966,-50.6130485535,-50.5710269266,-50.5430125087,-50.3018884115,-50.5780305311,-50.4379584414,-50.3399079787,-50.4729764638,-50.402940419,-50.3679223966,-50.4729764638,-50.3679223966,-50.4729764638,-50.4459625608,-50.4659728594,-50.3058904712,-50.4379584414,-50.1928322846,-50.5780305311,-50.4879841877,-50.5079944863,-50.4379584414,-50.4149465981,129.865025301,129.767009432,129.767009432,129.732003764,129.837020767,129.872026434,129.865025301,129.907032102,129.837020767,129.872026434,129.845022062,129.872026434,129.859024329,129.767009432,129.837020767,129.856023843,129.872026434,130.012049104,129.907032102,129.872026434,129.872026434,130.047054772,129.833020119,129.915033397,129.832019957,130.047054772,130.082060439,129.942037769,129.996046513,129.767009432,129.907032102,130.052055581,111.21,111.248,111.248,111.266,111.224,111.272,111.181,111.2,111.184,111.272,111.26,111.245,111.155,111.275,111.21,111.17,111.219,111.171,111.173,111.219,111.178,111.193,111.214,111.21,111.161,111.179,111.08,111.248,111.206,111.248,111.2,111.17
FLQS30QMGRWV,-50.4264222503,-50.4254217657,-50.4924542305,-50.4574372713,-50.4584377559,-50.5244697361,-50.3153684653,-50.3563883318,-50.289355867,-50.522468767,-50.4904532614,-50.4634401786,-50.2453345469,-50.491453746,-50.4234207966,-50.278350537,-50.4234207966,-50.3613907546,-50.3523863936,-50.4584377559,-50.289355867,-50.3934062602,-50.4294237039,-50.3954072292,-50.2523379387,-50.4224203121,-50.176301113,-50.4974566533,-50.4234207966,-50.4354266112,-50.3553878473,-50.3633917237,130.002936898,129.93391835,129.93391835,129.897908673,129.930917543,130.039946844,130.006937973,130.073955984,130.002936898,129.966927221,130.001936629,129.966927221,130.002936898,129.930917543,129.935918888,129.996935285,130.041947382,130.108965392,130.075956521,130.038946575,130.039946844,130.142974532,129.96792749,130.072955715,129.971928565,130.1439748,130.172982596,130.105964586,130.140973994,129.865900071,130.070955177,130.147975876,111.061,111.071,111.097,111.089,111.084,111.093,111.018,111.024,111.009,111.104,111.086,111.081,110.992,111.097,111.07,111.006,111.054,111.02,111.022,111.068,111.003,111.028,111.068,111.039,110.999,111.039,110.94,111.073,111.039,111.085,111.024,111.016
FLQS30Q9GRWY,-50.5048419592,-50.5418403783,-50.6088375156,-50.573839011,-50.5808387119,-50.6438360201,-50.3928467447,-50.4288452065,-50.3958466165,-50.6408361483,-50.573839011,-50.5758389256,-50.3208498211,-50.6138373019,-50.5398404638,-50.3548483684,-50.5068418738,-50.4338449929,-50.4728433265,-50.5798387547,-50.3948466593,-50.4688434974,-50.5378405492,-50.5028420447,-50.3198498638,-50.5418403783,-50.2928510175,-50.6128373447,-50.5398404638,-50.6198370456,-50.4668435829,-50.4648436683,129.993402562,129.924421452,129.889431034,129.852441163,129.924421452,130.030392433,130.007398729,130.030392433,129.996401741,129.956412691,129.99140311,129.955412965,130.007398729,129.921422273,129.893429939,130.005399277,130.029392707,130.101372996,130.066382577,130.030392433,130.034391338,130.133364235,129.957412418,130.063383399,129.97540749,130.135363687,130.171353832,130.099373543,130.138362866,129.78945841,130.065382851,130.148360129,111.092,111.117,111.148,111.14,111.132,111.14,111.048,111.058,111.05,111.15,111.119,111.125,111.02,111.145,111.121,111.033,111.088,111.049,111.069,111.116,111.044,111.058,111.111,111.081,111.024,111.086,110.985,111.118,111.084,111.167,111.067,111.054
FLQS30Q9GRWV,-50.5988376044,-50.5988376044,-50.6689149372,-50.6679138324,-50.6338762708,-50.7039536036,-50.4937216052,-50.5287602716,-50.4586829388,-50.6939425561,-50.6689149372,-50.6338762708,-50.4236442724,-50.6689149372,-50.6689149372,-50.4556796245,-50.6338762708,-50.4937216052,-50.5287602716,-50.6338762708,-50.4586829388,-50.563798938,-50.5988376044,-50.563798938,-50.4236442724,-50.5988376044,-50.3535669395,-50.6689149372,-50.5988376044,-50.5988376044,-50.5287602716,-50.5617967285,129.838942102,129.76893027,129.76893027,129.703919284,129.76893027,129.94395985,129.838942102,129.908953934,129.838942102,129.855944976,129.838942102,129.803936186,129.838942102,129.76893027,129.76893027,129.793934496,129.873948018,129.94395985,129.908953934,129.873948018,129.873948018,129.978965765,129.803936186,129.908953934,129.803936186,129.978965765,130.013971681,129.94395985,129.978965765,129.698918439,129.908953934,129.995968639,111.244,111.254,111.281,111.291,111.268,111.268,111.204,111.207,111.19,111.278,111.271,111.263,111.177,111.281,111.281,111.196,111.252,111.188,111.207,111.252,111.185,111.21,111.249,111.22,111.182,111.223,111.124,111.255,111.223,111.265,111.207,111.207
FLQS30Q3GRWV,-50.8832672227,-50.8852676656,-50.9522825049,-50.9172747531,-50.919275196,-50.9812889279,-50.7732428597,-50.8122514975,-50.7442364367,-50.9792884849,-50.950282062,-50.9182749745,-50.7022271345,-50.9512822834,-50.8842674442,-50.7362346648,-50.8462590278,-50.7812446315,-50.8102510545,-50.9162745316,-50.7482373226,-50.8492596923,-50.8852676656,-50.8502599138,-50.7072282419,-50.8812667797,-50.6372127381,-50.9492818405,-50.8822670012,-50.894269659,-50.8122514975,-50.8202532693,129.921475343,129.85149017,129.850490382,129.815497795,129.849490594,129.927474072,129.929473649,129.993460093,129.921475343,129.85149017,129.919475767,129.887482545,129.933472802,129.849490594,129.853489746,129.927474072,129.958467506,130.026453103,129.961466871,129.925474496,129.957467718,130.031452044,129.887482545,129.991460516,129.896480639,130.060445901,130.0944387,130.029452468,130.062445478,129.782504785,129.990460728,130.066444631,111.339,111.35,111.376,111.368,111.364,111.376,111.296,111.301,111.286,111.386,111.365,111.358,111.268,111.376,111.35,111.282,111.319,111.285,111.305,111.351,111.282,111.31,111.345,111.316,111.276,111.318,111.219,111.348,111.318,111.364,111.302,111.293
